account_id,customer_id,tenure_months,num_referrals,has_internet_service,internet_type,has_unlimited_data,has_phone_service,has_multiple_lines,has_premium_tech_support,has_online_security,has_online_backup,has_device_protection,contract_type,paperless_billing,payment_method,avg_long_distance_fee_monthly,total_long_distance_fee,avg_gb_download_monthly,stream_tv,stream_movie,stream_music,total_monthly_fee,total_charges_quarter,total_refunds,gender,age,senior_citizen,married,num_dependents,zip_code,city_name,population,customer_status,churn_label,churn_category,churn_reason
FIWL-DSBUU,0093-XWZFY,40,0,Yes,Fiber Optic,Yes,Yes,Yes,No,No,Yes,Yes,Month-to-Month,Yes,Credit Card,37.69,1507.6,15,Yes,Yes,Yes,104.5,4036.85,0.0,Male,51,No,No,0,92241,Desert Hot Springs,5529,Churned,Yes,Competitor,Competitor had better devices
HIZY-XWGJG,0096-FCPUF,30,0,Yes,DSL,Yes,Yes,Yes,No,Yes,No,No,Month-to-Month,Yes,Mailed Check,2.64,79.2,15,No,Yes,Yes,64.5,1888.45,0.0,Male,58,No,No,0,95404,Santa Rosa,35057,Stayed,No,,
BPMN-XICPJ,0100-DUVFC,70,3,Yes,Fiber Optic,Yes,Yes,Yes,No,No,Yes,Yes,One Year,Yes,Bank Withdrawal,39.49,2764.3,28,Yes,Yes,No,104.8,7308.95,6.11,Male,66,Yes,Yes,0,90744,Wilmington,53323,Stayed,No,,
BYZS-LTHWI,0107-WESLM,1,0,No,None,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,31.77,31.77,0,No,No,No,19.85,19.85,0.0,Male,32,No,No,0,95255,West Point,2198,Churned,Yes,Attitude,Attitude of support person
BTUI-SBNBD,0111-KLBQG,32,9,Yes,Fiber Optic,Yes,Yes,No,No,No,Yes,No,One Year,Yes,Mailed Check,31.86,1019.52,23,Yes,Yes,Yes,93.95,2861.45,0.0,Male,71,Yes,Yes,1,92256,Morongo Valley,3499,Stayed,No,,
IZMU-ORFIM,0112-QAWRZ,16,8,Yes,Fiber Optic,Yes,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,48.71,779.36,12,Yes,No,No,90.8,1442.2,0.0,Male,49,No,Yes,2,92266,Palo Verde,291,Stayed,No,,
ALYE-SMSWW,0112-QWPNC,49,1,Yes,Cable,Yes,Yes,Yes,Yes,Yes,No,Yes,One Year,No,Bank Withdrawal,39.55,1937.95,10,Yes,Yes,Yes,84.35,4059.35,0.0,Male,61,No,Yes,0,93563,Valyermo,413,Churned,Yes,Competitor,Competitor offered higher download speeds
HOCF-TNEOJ,0114-IGABW,71,2,Yes,Cable,Yes,No,No,Yes,No,Yes,Yes,Two Year,No,Bank Withdrawal,0.0,0.0,29,Yes,Yes,Yes,58.25,4145.9,0.0,Female,40,No,Yes,0,93428,Cambria,6526,Stayed,No,,
EGZT-IEJXV,0122-OAHPZ,7,0,Yes,Fiber Optic,Yes,Yes,Yes,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,28.62,200.34,26,No,No,Yes,73.85,511.25,13.03,Female,29,No,No,0,92122,San Diego,34902,Churned,Yes,Competitor,Competitor made better offer
ISWV-WHAIZ,0123-CRBRT,61,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Mailed Check,47.19,2878.59,28,Yes,Yes,Yes,88.1,5526.75,0.0,Female,62,No,Yes,0,91755,Monterey Park,26933,Stayed,No,,
HQCS-IIBJD,0125-LZQXK,15,0,Yes,Fiber Optic,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,45.92,688.8,12,Yes,Yes,Yes,101.35,1553.95,0.0,Male,42,No,No,0,95305,Big Oak Flat,167,Churned,Yes,Attitude,Attitude of service provider
HPEK-PTEZX,0129-KPTWJ,72,9,Yes,Fiber Optic,Yes,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,33.22,2391.84,23,Yes,Yes,Yes,94.65,6747.35,0.0,Male,39,No,Yes,0,95660,North Highlands,32202,Stayed,No,,
DLFY-SXHWM,0130-SXOUN,66,0,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,No,Month-to-Month,No,Credit Card,48.78,3219.48,8,No,Yes,Yes,89.4,5976.9,36.02,Male,55,No,No,0,95443,Glenhaven,175,Stayed,No,,
IZAE-LLKQO,0133-BMFZO,2,0,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,36.81,73.62,16,No,No,No,86.25,181.65,0.0,Female,40,No,No,0,91803,Alhambra,30635,Churned,Yes,Competitor,Competitor offered higher download speeds
HSAV-LYWGJ,0134-XWXCE,44,0,Yes,DSL,Yes,Yes,No,Yes,No,No,Yes,One Year,No,Bank Withdrawal,7.72,339.68,17,Yes,Yes,Yes,74.85,3268.05,17.91,Female,76,Yes,No,0,90403,Santa Monica,23559,Stayed,No,,
GUWH-NOZWJ,0135-NMXAP,12,0,Yes,Fiber Optic,Yes,Yes,Yes,No,No,Yes,No,Month-to-Month,Yes,Bank Withdrawal,14.38,172.56,6,Yes,No,No,89.75,1052.4,0.0,Female,57,No,No,0,95240,Lodi,45755,Churned,Yes,Attitude,Attitude of support person
JNTU-CITNB,0136-IFMYD,69,1,Yes,Fiber Optic,Yes,Yes,Yes,Yes,No,Yes,Yes,Two Year,Yes,Bank Withdrawal,18.41,1270.29,17,Yes,Yes,No,109.95,7634.25,0.0,Male,71,Yes,Yes,0,90001,Los Angeles,54492,Stayed,No,,
BOJD-CWTTH,0137-UDEUO,3,0,No,None,No,Yes,No,No,No,No,No,Month-to-Month,No,Credit Card,25.75,77.25,0,No,No,No,19.85,63.75,0.0,Female,24,No,No,0,95204,Stockton,30476,Churned,Yes,Price,Long distance charges
EZAH-UMQJK,0141-YEAYS,27,0,Yes,Fiber Optic,Yes,Yes,Yes,No,No,Yes,Yes,Two Year,Yes,Bank Withdrawal,2.97,80.19,4,No,No,No,86.45,2401.05,0.0,Female,77,Yes,No,0,92028,Fallbrook,42239,Stayed,No,,
JINB-ABHVD,0142-GVYSN,26,0,No,None,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,13.34,346.84,0,No,No,No,20.3,511.25,0.0,Male,57,No,No,0,93554,Randsburg,117,Stayed,No,,
JKVN-SODYE,0164-XAIRP,24,0,No,None,No,Yes,No,No,No,No,No,Two Year,Yes,Bank Withdrawal,10.64,255.36,0,No,No,No,19.55,470.2,0.0,Female,51,No,No,0,90638,La Mirada,47568,Stayed,No,,
COSM-NRJIM,0178-SZBHO,47,7,Yes,Fiber Optic,Yes,Yes,Yes,No,No,Yes,No,Month-to-Month,No,Bank Withdrawal,1.09,51.23,13,Yes,No,No,87.2,4017.45,0.0,Male,54,No,Yes,1,95379,Tuolumne,3979,Stayed,No,,
BPUM-JRBCR,0187-WZNAB,27,6,Yes,Fiber Optic,Yes,Yes,No,No,Yes,No,No,Month-to-Month,No,Credit Card,46.66,1259.82,28,No,No,No,74.4,1972.35,0.0,Female,56,No,Yes,2,93616,Del Rey,1965,Stayed,No,,
IVST-CZJKE,0193-ESZXP,58,1,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,No,One Year,Yes,Credit Card,16.94,982.52,19,Yes,Yes,Yes,105.5,6205.5,0.0,Female,73,Yes,Yes,0,93445,Oceano,7435,Churned,Yes,Attitude,Attitude of support person
AHDR-OUQUJ,0196-JTUQI,9,0,Yes,Fiber Optic,Yes,Yes,Yes,No,No,No,No,Month-to-Month,Yes,Credit Card,9.27,83.43,28,No,No,No,75.2,633.85,0.0,Female,59,No,No,0,95612,Clarksburg,1417,Stayed,No,,
FQMD-JCIWF,0196-VULGZ,6,1,Yes,Fiber Optic,Yes,Yes,Yes,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,28.71,172.26,17,No,Yes,No,84.35,474.9,0.0,Female,78,Yes,Yes,0,92620,Irvine,26419,Churned,,Other,Deceased
IIIC-GRGVZ,0215-BQKGS,30,0,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,24.73,741.9,20,No,No,No,84.3,2438.6,0.0,Male,52,No,No,0,92844,Garden Grove,23481,Stayed,No,,
BHHC-KRKQR,0218-QNVAS,71,1,Yes,Fiber Optic,Yes,Yes,Yes,No,No,Yes,No,One Year,No,Bank Withdrawal,28.34,2012.14,59,Yes,Yes,Yes,100.55,7113.75,16.99,Male,22,No,Yes,1,92203,Indio,2743,Stayed,No,,
FMEU-GBJOZ,0219-QAERP,30,2,No,None,No,Yes,No,No,No,No,No,One Year,No,Credit Card,9.81,294.3,0,No,No,No,19.8,576.65,0.0,Male,33,No,Yes,0,93033,Oxnard,77791,Stayed,No,,
JZSM-JUQYQ,0228-MAUWC,19,0,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,11.85,225.15,18,No,No,No,59.55,1144.6,0.0,Male,40,No,No,0,95033,Los Gatos,10172,Stayed,No,,
EPKZ-MFTKX,0229-LFJAF,72,0,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,3.66,263.52,13,No,No,No,69.65,4908.25,0.0,Male,53,No,No,0,93611,Clovis,46858,Stayed,No,,
BPNI-BCSPD,0230-WEQUW,66,1,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,0.0,0.0,29,Yes,No,No,56.6,3789.2,0.0,Male,38,No,Yes,0,91364,Woodland Hills,25988,Stayed,No,,
EWTL-FJAWT,0237-YFUTL,50,4,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,34.57,1728.5,13,Yes,Yes,Yes,109.65,5405.8,0.0,Female,62,No,Yes,0,92655,Midway City,8660,Stayed,No,,
BFVJ-LKHRD,0239-OXEXL,46,0,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,No,Month-to-Month,No,Credit Card,43.27,1990.42,21,No,No,No,84.25,3847.6,0.0,Female,37,No,No,0,94619,Oakland,24518,Stayed,No,,
BVTA-MWIKK,0244-LGNFY,72,4,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,30.0,2160.0,19,Yes,Yes,Yes,92.65,6733.0,0.0,Female,35,No,Yes,1,94960,San Anselmo,16849,Stayed,No,,
ASKD-HPTRN,0254-FNMCI,72,0,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,41.91,3017.52,73,Yes,Yes,Yes,109.9,7624.2,0.0,Female,19,No,No,0,90241,Downey,40152,Stayed,No,,
ENZE-ZWRWT,0254-WWRKD,67,1,Yes,Cable,Yes,Yes,No,No,No,Yes,No,One Year,No,Credit Card,46.9,3142.3,28,No,No,No,50.55,3431.75,0.0,Female,44,No,Yes,3,95925,Challenge,262,Stayed,No,,
HHQC-UBCYU,0257-KXZGU,32,9,Yes,DSL,Yes,Yes,Yes,No,No,Yes,Yes,Month-to-Month,No,Bank Withdrawal,33.28,1064.96,51,No,No,Yes,62.45,2045.55,0.0,Female,29,No,Yes,1,95051,Santa Clara,52986,Stayed,No,,
HUQT-CQZCW,0257-ZESQC,27,2,Yes,Cable,Yes,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,7.02,189.54,25,No,No,No,75.2,1929.35,0.0,Female,80,Yes,Yes,0,92571,Perris,26357,Churned,Yes,Attitude,Attitude of support person
IOJG-OBBTL,0264-CNITK,71,1,No,None,No,Yes,No,No,No,No,No,Two Year,No,Bank Withdrawal,31.03,2203.13,0,No,No,No,20.1,1389.6,0.0,Female,45,No,Yes,2,96106,Clio,88,Stayed,No,,
IQZD-JZZPZ,0266-GMEAO,72,1,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,15.94,1147.68,13,Yes,Yes,Yes,114.3,8058.55,0.0,Male,43,No,Yes,1,93436,Lompoc,51737,Stayed,No,,
BTHX-GPBHH,0268-QKIWO,3,0,No,None,No,Yes,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,24.63,73.89,0,No,No,No,19.75,58.85,0.0,Female,41,No,No,0,95664,Pilot Hill,1173,Churned,Yes,Attitude,Attitude of support person
BFWR-SBYVP,0270-THENM,72,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,28.37,2042.64,18,No,No,No,69.85,5102.35,25.24,Male,62,No,Yes,2,91345,Mission Hills,17112,Stayed,No,,
ACOG-YBIQX,0281-CNTZX,63,2,No,None,No,Yes,No,No,No,No,No,Two Year,Yes,Bank Withdrawal,38.36,2416.68,0,No,No,No,19.95,1234.8,0.0,Male,56,No,Yes,0,94060,Pescadero,2055,Stayed,No,,
JLFC-FDPQV,0282-NVSJS,12,1,Yes,DSL,Yes,No,No,Yes,No,No,No,Month-to-Month,Yes,Mailed Check,0.0,0.0,14,No,No,No,29.3,355.9,0.0,Female,70,Yes,Yes,1,95004,Aromas,3373,Stayed,No,,
CONV-ESGRR,0285-INHLN,27,5,Yes,DSL,Yes,Yes,No,No,Yes,Yes,No,Month-to-Month,Yes,Credit Card,36.19,977.13,53,No,No,No,54.75,1510.3,0.0,Male,54,No,Yes,6,93603,Badger,273,Stayed,No,,
DSAA-NEXTT,0289-IVARM,35,0,Yes,DSL,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,44.81,1568.35,20,No,No,No,60.55,1982.6,0.0,Female,57,No,No,0,93648,Parlier,12587,Stayed,No,,
FKHL-YHUMS,0295-PPHDO,1,0,Yes,Fiber Optic,Yes,Yes,Yes,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,5.59,5.59,2,Yes,Yes,Yes,95.45,95.45,0.0,Male,56,No,No,0,91744,La Puente,84965,Churned,Yes,Competitor,Competitor had better devices
AMNQ-VZXKW,0298-XACET,52,1,Yes,DSL,Yes,No,No,Yes,No,Yes,Yes,Two Year,No,Credit Card,0.0,0.0,17,Yes,No,No,50.2,2554.0,27.01,Male,35,No,Yes,2,95916,Berry Creek,1279,Stayed,No,,
DJRL-HLIXM,0301-FIDRB,72,8,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,0.0,0.0,22,Yes,Yes,Yes,63.8,4684.3,0.0,Female,61,No,Yes,3,95439,Fulton,476,Stayed,No,,
DZYM-PSAXC,0305-SQECB,11,0,Yes,DSL,No,No,No,Yes,Yes,No,No,One Year,Yes,Credit Card,0.0,0.0,17,No,No,No,36.05,402.6,0.0,Female,54,No,No,1,90248,Gardena,9960,Stayed,No,,
FYNO-DIHWI,0308-GIQJT,71,0,Yes,Fiber Optic,Yes,Yes,Yes,Yes,No,Yes,No,One Year,No,Bank Withdrawal,6.1,433.1,9,Yes,Yes,No,105.75,7382.85,0.0,Male,80,Yes,No,0,92126,San Diego,74232,Stayed,No,,
CXKH-MVKVG,0308-IVGOK,11,0,Yes,DSL,Yes,No,No,Yes,No,Yes,Yes,One Year,Yes,Credit Card,0.0,0.0,59,No,No,No,40.4,422.6,0.0,Female,23,No,No,0,92703,Santa Ana,70011,Stayed,No,,
JHRC-MTTZU,0310-SUCIN,71,2,Yes,Cable,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,23.06,1637.26,6,Yes,Yes,Yes,84.8,6046.1,0.0,Female,50,No,Yes,0,93522,Darwin,64,Stayed,No,,
IZZY-RXUIO,0310-VQXAM,9,0,No,None,No,Yes,No,No,No,No,No,Month-to-Month,No,Credit Card,40.74,366.66,0,No,No,No,19.85,178.8,0.0,Male,56,No,No,0,92404,San Bernardino,53636,Stayed,No,,
DGOT-FZWZP,0314-TKOSI,6,0,Yes,Cable,No,Yes,No,No,Yes,Yes,No,Month-to-Month,No,Mailed Check,6.98,41.88,30,No,No,No,55.15,322.9,0.0,Female,29,No,No,0,91784,Upland,23331,Stayed,No,,
JNHI-WWKFP,0315-LVCRK,11,0,Yes,Fiber Optic,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,30.57,336.27,15,No,Yes,Yes,84.8,888.75,0.0,Male,54,No,No,0,95762,El Dorado Hills,22028,Stayed,No,,
DEDZ-KMJAN,0319-QZTCO,3,9,Yes,DSL,Yes,Yes,No,No,No,Yes,No,Month-to-Month,Yes,Credit Card,11.47,34.41,51,Yes,No,No,58.7,168.6,0.0,Female,25,No,Yes,2,95401,Santa Rosa,36125,Joined,No,,
HIFH-WTXHG,0322-CHQRU,2,0,Yes,DSL,Yes,Yes,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,25.49,50.98,9,No,No,No,45.35,89.5,0.0,Male,63,No,No,0,93591,Palmdale,6787,Churned,Yes,Competitor,Competitor had better devices
GHOE-KQFPN,0325-XBFAC,8,0,Yes,Fiber Optic,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,19.49,155.92,10,Yes,Yes,Yes,94.7,740.3,0.0,Male,44,No,No,0,95546,Hoopa,3041,Churned,Yes,Competitor,Competitor offered more data
BSFO-TTIGZ,0328-GRPMV,1,0,Yes,Fiber Optic,Yes,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,17.37,17.37,25,No,No,No,70.1,70.1,0.0,Female,43,No,No,0,95527,Burnt Ranch,485,Churned,Yes,Competitor,Competitor had better devices
AAJU-HMJLK,0334-ZFJSR,55,0,Yes,Cable,No,Yes,Yes,Yes,Yes,Yes,No,One Year,Yes,Credit Card,35.38,1945.9,13,No,No,No,66.05,3462.1,44.53,Female,41,No,Yes,0,92123,San Diego,25232,Stayed,No,,
EOID-HJLQW,0336-KXKFK,72,0,Yes,DSL,Yes,No,No,Yes,Yes,No,Yes,Two Year,Yes,Credit Card,0.0,0.0,6,Yes,Yes,Yes,61.2,4390.25,0.0,Male,43,No,No,0,93453,Santa Margarita,2687,Stayed,No,,
JOMK-LJYLD,0337-CNPZE,41,0,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,10.43,427.63,22,Yes,Yes,Yes,106.3,4443.45,0.0,Female,63,No,No,0,90033,Los Angeles,49431,Churned,Yes,Price,Price too high
JLHQ-JALHL,0345-XMMUG,46,6,Yes,Fiber Optic,Yes,Yes,Yes,Yes,No,Yes,Yes,Two Year,Yes,Credit Card,2.0,92.0,48,Yes,Yes,Yes,108.9,4854.3,0.0,Female,29,No,Yes,0,95640,Ione,9752,Stayed,No,,
JAEL-MLWTO,0347-UBKUZ,15,0,No,None,No,Yes,No,No,No,No,No,Month-to-Month,No,Mailed Check,2.74,41.1,0,No,No,No,19.9,320.45,0.0,Female,46,No,No,0,94404,San Mateo,31882,Stayed,No,,
HRZZ-NCRAA,0356-ERHVT,11,1,Yes,Cable,Yes,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,12.95,142.45,6,No,No,No,45.9,521.9,0.0,Male,54,No,Yes,0,95062,Santa Cruz,36631,Stayed,No,,
BFBH-OMPIQ,0361-HJRDX,68,0,Yes,DSL,No,No,No,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,0.0,0.0,28,Yes,Yes,Yes,64.35,4539.6,0.0,Female,38,No,No,0,91403,Sherman Oaks,22085,Stayed,No,,
AJHQ-UGVZV,0362-ZBZWJ,36,0,Yes,Fiber Optic,Yes,Yes,Yes,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,24.66,887.76,22,No,Yes,Yes,84.9,3067.2,0.0,Male,46,No,No,0,95686,Thornton,1472,Churned,Yes,Attitude,Attitude of service provider
FRFU-HIOLG,0366-NQSHS,2,0,No,None,No,Yes,No,No,No,No,No,Month-to-Month,No,Credit Card,44.34,88.68,0,No,No,No,19.35,46.35,0.0,Male,42,No,No,0,95932,Colusa,7503,Joined,No,,
CKLX-YHHDZ,0374-AACSZ,1,0,Yes,DSL,No,Yes,No,No,Yes,No,No,Month-to-Month,No,Bank Withdrawal,38.33,38.33,24,No,No,No,50.15,50.15,0.0,Female,63,No,No,0,93534,Lancaster,35109,Joined,No,,
ICWM-ILKLF,0374-IOEGQ,3,0,Yes,Cable,Yes,Yes,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,15.59,46.77,27,No,No,No,44.6,122.7,0.0,Female,62,No,No,0,93926,Gonzales,9023,Joined,No,,
JRZP-PQBPE,0376-OIWME,36,3,Yes,Fiber Optic,Yes,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,41.33,1487.88,41,Yes,Yes,Yes,93.6,3366.05,16.56,Male,24,No,Yes,0,92173,San Ysidro,28488,Stayed,No,,
GJRN-EGNXG,0376-YMCJC,23,0,Yes,Cable,Yes,Yes,Yes,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,38.69,889.87,69,Yes,No,Yes,90.6,1943.2,4.73,Male,21,No,No,0,94949,Novato,13361,Churned,Yes,Competitor,Competitor offered higher download speeds
HZJA-UDLJA,0377-JBKKT,22,9,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Credit Card,42.58,936.76,82,No,No,Yes,57.95,1271.8,0.0,Male,21,No,Yes,3,95020,Gilroy,49968,Stayed,No,,
